period,term,sex,age_range_start,age_range_end
11-10,節,女性,50,54
11-10,暑,女性,45,49
11-10,極,女性,50,54
11-10,苦,女性,65,69
11-10,良,男性,40,44
11-10,縮,女性,60,64
11-10,忍,男性,50,54
11-10,忍,女性,50,54
11-10,輝,男性,60,64
11-10,耐,男性,40,44
11-10,楽,男性,70,74
11-10,辛,女性,50,54
11-10,費,女性,40,44
11-10,省,女性,45,49
11-10,忍,男性,45,49
11-10,耐,男性,60,64
11-10,無,男性,40,44
11-10,忍,男性,45,49
11-10,苦,女性,45,49
11-10,忍,男性,60,64
11-10,普,男性,40,44
11-10,乱,男性,50,54
11-10,波,女性,35,39
11-10,同,女性,45,49
11-10,平,女性,40,44
11-10,忍,男性,55,59
11-10,暑,男性,50,54
11-10,暑,男性,40,44
11-10,耐,男性,45,49
11-10,疲,女性,65,69
11-10,暑,男性,40,44
11-10,普,女性,45,49
11-10,常,男性,40,44
11-10,暑,男性,45,49
11-10,省,女性,35,39
11-10,苦,男性,65,69
11-10,変,女性,65,69
11-10,平,男性,35,39
11-10,平,男性,45,49
11-10,凡,女性,55,59
11-10,穏,男性,60,64
11-10,楽,女性,60,64
11-10,耐,女性,40,44
11-10,暑,女性,35,39
11-10,並,女性,40,44
11-10,抑,女性,40,44
11-10,忙,女性,55,59
11-10,節,男性,35,39
11-10,忙,女性,65,69
11-10,同,女性,55,59
11-10,並,男性,45,49
11-10,忙,男性,55,59
11-10,出,女性,50,54
11-10,忍,男性,50,54
11-10,休,女性,45,49
11-10,素,男性,45,49
11-10,静,女性,35,39
11-10,無,男性,45,49
11-10,静,男性,50,54
11-10,慣,男性,35,39
11-10,賢,女性,25,29
11-10,楽,男性,50,54
11-10,疲,女性,50,54
11-10,並,男性,60,64
11-10,楽,女性,65,69
11-10,忍,女性,45,49
11-10,苦,女性,45,49
11-10,苦,男性,40,44
11-10,並,男性,40,44
11-10,静,男性,55,59
11-10,常,女性,50,54
11-10,苦,男性,40,44
11-10,普,女性,50,54
11-10,節,女性,45,49
11-10,静,男性,45,49
11-10,暑,女性,35,39
11-10,忙,男性,40,44
11-10,節,男性,30,34
11-10,楽,男性,50,54
11-10,暑,女性,40,44
11-10,諦,男性,45,49
11-10,努,女性,70,74
11-10,穏,男性,55,59
11-10,楽,男性,60,64
11-10,流,男性,75,79
11-10,忍,女性,55,59
11-10,耐,女性,55,59
11-10,耐,男性,60,64
11-10,楽,男性,25,29
11-10,消,女性,40,44
11-10,耐,男性,55,59
11-10,節,女性,45,49
11-10,難,女性,40,44
11-10,酷,男性,45,49
11-10,安,女性,65,69
11-10,溺,男性,45,49
11-10,忍,女性,45,49
11-10,忍,女性,60,64
11-10,暑,男性,60,64
11-10,下,女性,50,54
11-10,苦,男性,55,59
11-10,同,男性,55,59
11-10,固,男性,55,59
11-10,節,女性,55,59
11-10,節,男性,40,44
11-10,楽,男性,60,64
11-10,早,男性,50,54
11-10,暑,女性,50,54
11-10,並,女性,45,49
11-10,並,女性,50,54
11-10,痩,男性,35,39
11-10,良,男性,30,34
11-10,難,女性,75,79
11-10,陽,女性,40,44
11-10,計,女性,25,29
11-10,忍,男性,70,74
11-10,楽,女性,30,34
11-10,忍,男性,60,64
11-10,暗,女性,35,39
11-10,寂,男性,40,44
11-10,常,男性,70,74
11-10,忍,男性,35,39
11-10,節,女性,55,59
11-10,同,男性,80,84
11-10,耐,女性,45,49
11-10,楽,女性,25,29
11-10,緩,女性,40,44
11-10,歩,女性,35,39
11-10,暑,男性,55,59
11-10,楽,男性,55,59
11-10,忍,男性,50,54
11-10,悩,男性,35,39
11-10,地,女性,45,49
11-10,静,女性,45,49
11-10,普,女性,40,44
11-10,変,女性,45,49
11-10,普,女性,25,29
11-10,穏,女性,55,59
11-10,慌,女性,40,44
11-10,欧,男性,45,49
11-10,暑,男性,40,44
11-10,忍,女性,60,64
11-10,静,女性,40,44
11-10,忙,男性,40,44
11-10,静,男性,50,54
11-10,暑,女性,45,49
11-10,暑,男性,35,39
11-10,並,女性,45,49
11-10,外,女性,30,34
11-10,忙,男性,55,59
11-10,省,男性,60,64
11-10,普,女性,25,29
11-10,辛,女性,65,69
11-10,節,女性,40,44
11-10,忍,男性,50,54
11-10,過,女性,30,34
11-10,忍,男性,50,54
11-10,素,女性,45,49
11-10,凡,女性,40,44
11-10,節,女性,45,49
11-10,凡,男性,65,69
11-10,転,男性,45,49
11-10,悩,女性,35,39
11-10,忍,男性,35,39
11-10,暑,女性,65,69
11-10,忍,男性,65,69
11-10,普,男性,45,49
11-10,静,女性,30,34
11-10,静,女性,35,39
11-10,暑,女性,40,44
11-10,暑,女性,40,44
11-10,普,女性,50,54
11-10,暑,女性,40,44
11-10,普,男性,45,49
11-10,暗,女性,50,54
11-10,普,男性,60,64
11-10,停,女性,50,54
11-10,楽,女性,45,49
11-10,並,女性,65,69
11-10,忍,女性,50,54
11-10,夏,女性,35,39
11-10,暑,女性,40,44
11-10,苦,男性,45,49
11-10,忍,女性,50,54
11-10,暑,女性,30,34
11-10,停,女性,40,44
11-10,良,男性,50,54
11-10,苦,男性,60,64
11-10,耐,男性,45,49
11-10,普,女性,50,54
11-10,並,男性,45,49
11-10,平,男性,60,64
11-10,並,男性,60,64
11-10,忍,男性,60,64
11-10,同,女性,35,39
11-10,忍,男性,45,49
11-10,夢,女性,40,44
11-10,苦,女性,55,59
11-10,無,男性,35,39
11-10,忍,男性,60,64
11-10,節,男性,65,69
11-10,楽,女性,60,64
11-10,底,男性,40,44
11-10,静,女性,40,44
11-10,院,女性,55,59
11-10,暑,男性,50,54
11-10,辛,男性,45,49
11-10,苦,男性,35,39
11-10,省,女性,55,59
11-10,苦,男性,35,39
11-10,忙,男性,40,44
11-10,省,男性,55,59
11-10,暇,女性,35,39
11-10,普,女性,30,34
11-10,辛,女性,40,44
11-10,苦,男性,60,64
11-10,疲,男性,60,64
11-10,節,女性,55,59
11-10,忍,男性,60,64
11-10,暑,女性,55,59
11-10,忍,男性,75,79
11-10,穏,男性,40,44
11-10,静,男性,70,74
11-10,忍,男性,50,54
11-10,平,女性,50,54
11-10,同,男性,60,64
11-10,熱,男性,55,59
11-10,洛,男性,55,59
11-10,満,女性,40,44
11-10,再,女性,35,39
11-10,暑,女性,35,39
11-10,並,女性,45,49
11-10,平,男性,60,64
11-10,忍,男性,55,59
11-10,良,女性,55,59
11-10,平,女性,35,39
11-10,暑,女性,50,54
11-10,普,女性,40,44
11-10,普,男性,45,49
11-10,快,女性,80,84
11-10,苦,男性,65,69
11-10,苦,女性,60,64
11-10,省,男性,55,59
11-10,旅,男性,35,39
11-10,痕,男性,40,44
11-10,並,女性,35,39
11-10,暑,男性,60,64
11-10,耐,男性,55,59
11-10,死,男性,45,49
11-10,暑,男性,55,59
11-10,払,男性,30,34
11-10,忍,女性,45,49
11-10,同,女性,70,74
11-10,暑,女性,40,44
11-10,良,女性,55,59
11-10,貧,男性,40,44
11-10,普,男性,50,54
11-10,辛,男性,35,39
11-10,静,女性,35,39
11-10,貧,女性,40,44
11-10,無,男性,70,74
11-10,省,男性,70,74
11-10,幸,女性,30,34
11-10,痛,女性,50,54
11-10,節,女性,40,44
11-10,暑,女性,45,49
11-10,締,女性,40,44
11-10,苦,男性,40,44
11-10,陽,女性,30,34
11-10,暑,男性,60,64
11-10,忙,女性,30,34
11-10,虚,男性,45,49
11-10,凡,男性,35,39
11-10,忍,男性,50,54
11-10,傷,男性,65,69
11-10,暮,女性,65,69
11-10,楽,女性,35,39
11-10,減,男性,55,59
11-10,簡,女性,45,49
11-10,静,男性,40,44
11-10,忍,男性,65,69
11-10,充,女性,45,49
11-10,普,男性,50,54
11-10,節,女性,45,49
11-10,節,男性,35,39
11-10,苦,男性,45,49
11-10,平,女性,45,49
11-10,忍,男性,35,39
11-10,暑,男性,60,64
11-10,節,女性,45,49
11-10,平,男性,55,59
11-10,忍,女性,20,24
11-10,苦,男性,45,49
11-10,耐,女性,45,49
11-10,節,女性,60,64
11-10,楽,女性,35,39
11-10,費,女性,50,54
11-10,暑,女性,40,44
11-10,辛,女性,35,39
11-10,同,男性,55,59
11-10,並,女性,45,49
11-10,苦,男性,40,44
11-10,普,男性,45,49
11-10,楽,女性,40,44
11-10,暑,女性,35,39
11-10,貧,女性,40,44
11-10,忍,男性,60,64
11-10,猛,女性,40,44
11-10,堅,男性,60,64
11-10,休,女性,50,54
11-10,忍,男性,70,74
11-10,暑,女性,50,54
11-10,忙,女性,40,44
11-10,並,男性,50,54
11-10,辛,女性,45,49
11-10,耐,男性,55,59
11-10,汗,女性,40,44
11-10,忍,男性,50,54
11-10,難,女性,40,44
11-10,酷,女性,25,29
11-10,省,女性,30,34
11-10,満,女性,40,44
11-10,普,男性,60,64
11-10,忙,女性,35,39
11-10,涼,男性,60,64
11-10,楽,女性,50,54
11-10,省,女性,40,44
11-10,低,女性,40,44
11-10,普,男性,85,89
11-10,無,女性,30,34
11-10,暑,女性,40,44
11-10,普,男性,45,49
11-10,死,男性,50,54
11-10,耐,男性,35,39
11-10,普,男性,45,49
11-10,暑,男性,40,44
11-10,騒,女性,45,49
11-10,耐,女性,45,49
11-10,病,女性,35,39
11-10,耐,男性,30,34
11-10,暑,女性,60,64
11-10,耐,男性,75,79
11-10,厳,男性,55,59
11-10,忍,男性,45,49
11-10,貧,女性,45,49
11-10,考,女性,55,59
11-10,常,女性,40,44
11-10,苛,女性,40,44
11-10,蒸,女性,45,49
11-10,貧,女性,45,49
11-10,遍,女性,40,44
11-10,静,男性,45,49
11-10,普,男性,65,69
11-10,苦,女性,40,44
11-10,苦,男性,40,44
11-10,普,男性,50,54
11-10,忙,女性,35,39
11-10,忍,女性,40,44
11-10,好,男性,70,74
11-10,同,女性,40,44
11-10,穏,男性,45,49
11-10,外,女性,30,34
11-10,忍,女性,50,54
11-10,暑,女性,35,39
11-10,節,女性,55,59
11-10,酷,男性,40,44
11-10,減,女性,40,44
11-10,熱,女性,60,64
11-10,同,男性,55,59
11-10,旅,女性,40,44
11-10,飽,男性,60,64
11-10,平,女性,60,64
11-10,痛,女性,40,44
11-10,苦,男性,65,69
11-10,穏,男性,45,49
11-10,苦,男性,55,59
11-10,暑,女性,40,44
11-10,省,男性,60,64
11-10,静,男性,70,74
11-10,不,女性,45,49
11-10,耐,女性,65,69
11-10,普,男性,45,49
11-10,忍,女性,45,49
11-10,暑,女性,35,39
11-10,耐,女性,50,54
11-10,考,女性,50,54
11-10,楽,女性,55,59
11-10,整,女性,55,59
11-10,充,女性,65,69
11-10,暑,男性,25,29
11-10,静,男性,40,44
11-10,並,女性,45,49
11-10,暗,女性,45,49
11-10,疲,女性,50,54
11-10,節,女性,40,44
11-10,晴,女性,55,59
11-10,節,女性,50,54
11-10,活,男性,35,39
11-10,耐,男性,60,64
11-10,鬱,女性,35,39
11-10,激,男性,45,49
11-10,蒼,女性,45,49
11-10,淡,女性,45,49
11-10,熱,男性,45,49
11-10,忍,女性,60,64
11-10,平,女性,30,34
11-10,苦,女性,40,44
11-10,早,男性,45,49
11-10,仄,男性,55,59
11-10,低,女性,40,44
11-10,滞,女性,60,64
11-10,忍,女性,65,69
11-10,陽,女性,40,44
11-10,歩,女性,40,44
11-10,節,女性,30,34
11-10,静,男性,65,69
11-10,戻,女性,50,54
11-10,新,男性,45,49
11-10,楽,女性,30,34
11-10,同,女性,45,49
11-10,常,男性,65,69
11-10,苦,男性,40,44
11-10,省,女性,40,44
11-10,暑,女性,40,44
11-10,忙,女性,40,44
11-10,普,男性,45,49
11-10,耐,男性,50,54
11-10,耐,男性,60,64
11-10,心,女性,50,54
11-10,憂,男性,75,79
11-10,忍,男性,50,54
11-10,暑,男性,25,29
11-10,常,男性,55,59
11-10,病,男性,35,39
11-10,落,女性,40,44
11-10,凡,男性,45,49
11-10,節,男性,35,39
11-10,楽,女性,35,39
11-10,静,男性,55,59
11-10,焼,男性,45,49
11-10,暑,女性,55,59
11-10,忍,女性,45,49
11-10,暑,女性,45,49
11-10,貧,女性,40,44
11-10,無,男性,40,44
11-10,静,男性,35,39
11-10,暑,男性,50,54
11-10,外,男性,35,39
11-10,同,女性,35,39
11-10,節,女性,45,49
11-10,省,女性,45,49
11-10,常,男性,65,69
11-10,慎,女性,40,44
11-10,控,女性,50,54
11-10,忍,男性,25,29
11-10,静,女性,35,39
11-10,楽,男性,55,59
11-10,選,女性,40,44
11-10,省,女性,50,54
11-10,帰,女性,35,39
11-10,楽,女性,30,34
11-10,忍,男性,65,69
11-10,明,女性,60,64
11-10,定,男性,45,49
11-10,減,女性,70,74
11-10,忍,女性,55,59
11-10,控,男性,45,49
11-10,平,男性,30,34
11-10,貧,男性,35,39
11-10,耐,女性,45,49
11-10,暑,男性,50,54
11-10,猛,男性,65,69
11-10,節,女性,45,49
11-10,素,女性,45,49
11-10,慣,女性,30,34
11-10,並,男性,70,74
11-10,節,男性,80,84
11-10,凡,女性,40,44
11-10,耐,女性,50,54
11-10,寒,女性,30,34
11-10,曇,女性,60,64
11-10,普,男性,40,44
11-10,暑,男性,45,49
11-10,実,女性,55,59
11-10,節,女性,35,39
11-10,省,女性,55,59
11-10,並,男性,55,59
11-10,暑,男性,55,59
11-10,暗,男性,55,59
11-10,耐,女性,50,54
11-10,費,男性,50,54
11-10,節,男性,60,64
11-10,忍,男性,60,64
11-10,節,女性,45,49
11-10,慎,男性,50,54
11-10,暑,女性,#N/A
11-10,並,女性,70,74
11-10,省,男性,40,44
11-10,貧,男性,60,64
11-10,熱,女性,40,44
11-10,平,男性,65,69
11-10,控,女性,40,44
11-10,輪,女性,55,59
11-10,耐,女性,55,59
11-10,普,女性,35,39
11-10,疲,女性,60,64
11-10,忍,女性,40,44
11-10,節,男性,70,74
11-10,常,女性,55,59
11-10,暑,女性,50,54
11-10,停,男性,45,49
11-10,常,男性,45,49
11-10,働,男性,40,44
11-10,同,女性,45,49
11-10,旅,女性,40,44
11-10,暑,男性,40,44
11-10,暑,女性,40,44
11-10,節,女性,40,44
11-10,楽,女性,60,64
11-10,並,男性,65,69
11-10,素,男性,60,64
11-10,無,女性,65,69
11-10,篭,女性,40,44
11-10,忙,男性,30,34
11-10,貧,男性,50,54
11-10,普,女性,35,39
11-10,減,男性,45,49
11-10,節,男性,50,54
11-10,遊,女性,30,34
11-10,乱,女性,45,49
11-10,重,女性,30,34
11-10,暑,男性,50,54
11-10,鬱,女性,40,44
11-10,和,女性,40,44
11-10,熱,女性,45,49
11-10,忍,女性,55,59
11-10,静,男性,45,49
11-10,暑,男性,60,64
11-10,耐,女性,30,34
11-10,忍,男性,50,54
11-10,余,女性,40,44
11-10,節,男性,35,39
11-10,疲,女性,25,29
11-10,耐,男性,50,54
11-10,忙,男性,55,59
11-10,耐,女性,45,49
11-10,並,男性,50,54
11-10,暑,女性,30,34
11-10,悲,女性,40,44
11-10,耐,女性,55,59
11-10,楽,女性,30,34
11-10,無,男性,60,64
11-10,省,女性,45,49
11-10,忙,女性,45,49
11-10,電,男性,55,59
11-10,動,女性,50,54
11-10,滞,男性,45,49
11-10,厚,女性,35,39
11-10,考,女性,60,64
11-10,常,女性,30,34
11-10,同,女性,50,54
11-10,定,女性,55,59
11-10,並,女性,55,59
11-10,忙,女性,55,59
11-10,静,男性,55,59
11-10,常,男性,65,69
11-10,暑,男性,30,34
11-10,並,女性,55,59
11-10,堕,女性,35,39
11-10,節,女性,65,69
11-10,?,男性,45,49
11-10,忍,男性,45,49
11-10,忍,男性,45,49
11-10,低,男性,65,69
11-10,暑,女性,35,39
11-10,忍,男性,40,44
11-10,空,男性,70,74
11-10,控,女性,50,54
11-10,忍,女性,40,44
11-10,節,女性,50,54
11-10,脱,女性,40,44
11-10,閉,女性,50,54
11-10,節,女性,35,39
11-10,忍,男性,55,59
11-10,忍,女性,60,64
11-10,楽,女性,35,39
11-10,節,女性,35,39
11-10,平,女性,40,44
11-10,気,女性,45,49
11-10,窮,女性,60,64
11-10,暑,女性,30,34
11-10,暑,女性,45,49
11-10,疲,女性,35,39
11-10,忍,女性,50,54
11-10,原,男性,55,59
11-10,淡,女性,50,54
11-10,楽,男性,25,29
11-10,常,女性,55,59
11-10,節,男性,60,64
11-10,凡,男性,45,49
11-10,暑,男性,50,54
11-10,楽,女性,55,59
11-10,同,男性,40,44
11-10,常,男性,75,79
11-10,靜,女性,70,74
11-10,楽,女性,45,49
11-10,早,女性,35,39
11-10,控,女性,40,44
11-10,飲,女性,30,34
11-10,迷,男性,50,54
11-10,貧,男性,55,59
11-10,低,女性,35,39
11-10,暑,男性,50,54
11-10,省,女性,25,29
11-10,実,男性,40,44
11-10,並,男性,70,74
11-10,出,女性,40,44
11-10,縮,男性,60,64
11-10,穏,女性,60,64
11-10,省,男性,60,64
11-10,控,女性,55,59
11-10,並,女性,30,34
11-10,保,男性,50,54
11-10,激,男性,60,64
11-10,暑,女性,60,64
11-10,涼,女性,35,39
11-10,楽,女性,60,64
11-10,忍,女性,40,44
11-10,熱,女性,50,54
11-10,平,女性,40,44
11-10,普,女性,40,44
11-10,静,男性,45,49
11-10,楽,女性,55,59
11-10,凡,女性,45,49
11-10,節,女性,35,39
11-10,普,女性,50,54
11-10,然,男性,40,44
11-10,寒,男性,30,34
11-10,苦,女性,50,54
11-10,耐,男性,75,79
11-10,平,男性,45,49
11-10,変,女性,40,44
11-10,忍,女性,55,59
11-10,楽,女性,55,59
11-10,楽,女性,35,39
11-10,忍,男性,55,59
11-10,楽,男性,45,49
11-10,節,女性,65,69
11-10,熱,男性,75,79
11-10,安,女性,45,49
11-10,忍,男性,40,44
11-10,苦,男性,50,54
11-10,考,男性,45,49
11-10,普,男性,45,49
11-10,高,男性,55,59
11-10,満,男性,60,64
11-10,辛,女性,45,49
11-10,耐,男性,40,44
11-10,変,女性,30,34
11-10,汗,男性,55,59
11-10,鬱,女性,30,34
11-10,忍,女性,60,64
11-10,低,女性,55,59
11-10,熱,男性,45,49
11-10,苦,女性,40,44
11-10,節,男性,30,34
11-10,学,女性,50,54
11-10,楽,女性,45,49
11-10,趣,女性,55,59
11-10,耐,女性,45,49
11-10,苦,女性,35,39
11-10,静,女性,50,54
11-10,遊,女性,45,49
11-10,常,女性,55,59
11-10,家,女性,35,39
11-10,暑,女性,55,59
11-10,普,女性,40,44
11-10,忍,女性,75,79
11-10,暑,男性,35,39
11-10,控,女性,50,54
11-10,楽,男性,50,54
11-10,静,男性,65,69
11-10,辛,女性,45,49
11-10,忍,男性,40,44
11-10,節,女性,35,39
11-10,凡,女性,45,49
11-10,変,男性,50,54
11-10,疲,女性,45,49
11-10,忙,男性,35,39
11-10,静,男性,30,34
11-10,勤,男性,10,14
11-10,耐,男性,60,64
11-10,暑,女性,45,49
11-10,改,女性,40,44
11-10,耐,女性,60,64
11-10,貯,女性,30,34
11-10,節,男性,40,44
11-10,静,女性,50,54
11-10,節,男性,50,54
11-10,忙,男性,35,39
11-10,凡,女性,40,44
11-10,穏,女性,40,44
11-10,忍,女性,40,44
11-10,楽,女性,65,69
11-10,忙,女性,45,49
11-10,暑,女性,50,54
11-10,渋,男性,65,69
11-10,平,男性,50,54
11-10,貧,女性,35,39
11-10,省,女性,50,54
11-10,節,男性,65,69
11-10,希,女性,25,29
11-10,耐,男性,70,74
11-10,暑,女性,40,44
11-10,忍,男性,65,69
11-10,省,男性,30,34
11-10,熱,女性,45,49
11-10,省,女性,35,39
11-10,涼,女性,30,34
11-10,楽,女性,50,54
11-10,静,女性,55,59
11-10,凪,男性,50,54
11-10,忍,女性,40,44
11-10,恕,男性,70,74
11-10,節,女性,45,49
11-10,控,女性,50,54
11-10,暑,女性,55,59
11-10,並,女性,50,54
11-10,苦,男性,55,59
11-10,忍,女性,75,79
11-10,凡,女性,45,49
11-10,家,女性,40,44
11-10,健,男性,60,64
11-10,不,男性,40,44
11-10,忍,男性,40,44
11-10,続,男性,60,64
11-10,渋,女性,70,74
11-10,得,女性,30,34
11-10,逃,女性,30,34
11-10,忍,男性,60,64
11-10,出,女性,40,44
11-10,変,男性,75,79
11-10,暗,女性,55,59
11-10,風,女性,45,49
11-10,痛,男性,30,34
11-10,節,女性,35,39
11-10,苦,男性,45,49
11-10,兆,男性,40,44
11-10,孝,女性,55,59
11-10,酷,女性,65,69
11-10,常,男性,80,84
11-10,出,女性,35,39
11-10,貧,女性,50,54
11-10,暑,男性,55,59
11-10,苦,男性,50,54
11-10,定,女性,45,49
11-10,苦,女性,30,34
11-10,遊,女性,35,39
11-10,楽,女性,30,34
11-10,素,男性,55,59
11-10,曇,女性,45,49
11-10,清,男性,70,74
11-10,普,男性,40,44
11-10,暑,男性,60,64
11-10,穏,女性,35,39
11-10,健,女性,75,79
11-10,節,男性,55,59
11-10,暑,女性,50,54
11-10,独,男性,60,64
11-10,節,女性,30,34
11-10,少,女性,45,49
11-10,旅,女性,40,44
11-10,遊,男性,60,64
11-10,暑,女性,50,54
11-10,凡,男性,75,79
11-10,厳,男性,60,64
11-10,苦,女性,40,44
11-10,緊,男性,50,54
11-10,異,男性,35,39
11-10,並,男性,55,59
11-10,忙,女性,55,59
11-10,並,女性,55,59
11-10,普,女性,40,44
11-10,病,男性,40,44
11-10,吝,女性,45,49
11-10,節,女性,30,34
11-10,平,男性,50,54
11-10,省,女性,45,49
11-10,忍,女性,40,44
11-10,遊,女性,45,49
11-10,暑,女性,45,49
11-10,疲,女性,55,59
11-10,節,女性,45,49
11-10,暑,女性,35,39
11-10,暑,女性,30,34
11-10,楽,女性,40,44
11-10,初,女性,70,74
11-10,停,女性,25,29
11-10,忙,女性,40,44
11-10,家,女性,45,49
11-10,旅,男性,60,64
11-10,鈍,男性,45,49
11-10,鬱,女性,45,49
11-10,控,女性,50,54
11-10,夏,女性,35,39
11-10,耐,女性,35,39
11-10,惰,男性,60,64
11-10,忍,男性,50,54
11-10,普,女性,60,64
11-10,家,男性,45,49
11-10,篭,女性,30,34
11-10,常,女性,50,54
11-10,楽,女性,60,64
11-10,普,男性,75,79
11-10,楽,女性,50,54
11-10,耐,女性,50,54
