educationalActivities,childRearingActivities,environmentalBeautificationActivities,communityEventsActivities,disasterPreventionActivities,careActivities,communityActivitiesTime,wantToParticipateEducationalActivities,wantToParticipateChildRearingActivities,wantToParticipateEnvironmentalBeautificationActivities,wantToParticipateCommunityEventsActivities,wantToParticipateDisasterPreventionActivities,wantToParticipateCareActivities,wantToParticipateOtherActivites,notWantToParticipateActivites,sex,age_range_start,age_range_end
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,はい,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,30,34
月に1回以上している,全くしたことがない,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,全くしていない,はい,いいえ,いいえ,いいえ,いいえ,はい,いいえ,いいえ,女性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,年に1回以上している,年に1回以上している,全くしたことがない,全くしていない,はい,はい,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,60,64
過去2～3年の間にしたことがある,全くしたことがない,年に1回以上している,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,はい,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,60,64
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,はい,はい,いいえ,いいえ,女性,40,44
全くしたことがない,全くしたことがない,過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,40,44
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,男性,40,44
全くしたことがない,全くしたことがない,半年に1回以上している,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,男性,40,44
過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,1時間以下,いいえ,いいえ,いいえ,はい,はい,いいえ,いいえ,いいえ,男性,55,59
過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,半年に1回以上している,半年に1回以上している,半年に1回以上している,過去2～3年の間にしたことがある,1時間以下,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,女性,25,29
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,25,29
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,男性,30,34
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,40,44
全くしたことがない,全くしたことがない,全くしたことがない,過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,1時間以下,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,女性,50,54
全くしたことがない,全くしたことがない,年に1回以上している,過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,1時間以下,いいえ,いいえ,はい,はい,はい,いいえ,いいえ,いいえ,男性,55,59
過去2～3年の間にしたことがある,全くしたことがない,週に1回以上している,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,13日以上,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,60,64
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,はい,はい,いいえ,いいえ,いいえ,女性,40,44
過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,1時間以下,はい,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,女性,55,59
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,はい,いいえ,いいえ,いいえ,男性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,女性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,男性,45,49
半年に1回以上している,全くしたことがない,月に1回以上している,半年に1回以上している,年に1回以上している,月に1回以上している,1日以下,いいえ,いいえ,はい,はい,はい,いいえ,いいえ,いいえ,女性,35,39
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,55,59
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,いいえ,はい,いいえ,はい,はい,いいえ,いいえ,女性,50,54
過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,いいえ,いいえ,いいえ,はい,はい,いいえ,いいえ,男性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,35,39
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,月に1回以上している,1時間以下,いいえ,いいえ,いいえ,いいえ,いいえ,はい,いいえ,いいえ,女性,60,64
全くしたことがない,全くしたことがない,年に1回以上している,年に1回以上している,年に1回以上している,全くしたことがない,1時間以下,いいえ,はい,はい,いいえ,はい,はい,いいえ,いいえ,女性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,過去2～3年の間にしたことがある,全くしたことがない,1時間以下,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,女性,50,54
過去2～3年の間にしたことがある,全くしたことがない,年に1回以上している,半年に1回以上している,年に1回以上している,全くしたことがない,1時間以下,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,男性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,はい,はい,はい,いいえ,いいえ,いいえ,いいえ,女性,35,39
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,女性,25,29
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,男性,35,39
全くしたことがない,全くしたことがない,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,1時間以下,はい,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,男性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,女性,35,39
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,はい,いいえ,はい,いいえ,はい,いいえ,いいえ,男性,35,39
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,女性,30,34
半年に1回以上している,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしていない,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,男性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,はい,はい,はい,いいえ,いいえ,女性,35,39
過去2～3年の間にしたことがある,全くしたことがない,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,1時間以下,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,55,59
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,男性,50,54
過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,1時間以下,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,女性,45,49
全くしたことがない,全くしたことがない,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,60,64
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,女性,30,34
過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,男性,45,49
全くしたことがない,全くしたことがない,年に1回以上している,全くしたことがない,全くしたことがない,全くしたことがない,1時間以下,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,男性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,男性,60,64
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,男性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,はい,はい,はい,はい,はい,いいえ,いいえ,女性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,はい,いいえ,いいえ,女性,55,59
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,60,64
週に1回以上している,週に1回以上している,週に1回以上している,半年に1回以上している,半年に1回以上している,半年に1回以上している,1時間以下,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,男性,40,44
過去2～3年の間にしたことがある,全くしたことがない,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,年に1回以上している,週に1回以上している,6時間以下,はい,はい,いいえ,はい,いいえ,はい,いいえ,いいえ,女性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,半年に1回以上している,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,はい,はい,いいえ,いいえ,いいえ,男性,65,69
過去2～3年の間にしたことがある,全くしたことがない,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,全くしていない,はい,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,女性,55,59
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,男性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,40,44
過去2～3年の間にしたことがある,全くしたことがない,半年に1回以上している,過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,1時間以下,いいえ,いいえ,はい,はい,はい,いいえ,いいえ,いいえ,女性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,女性,40,44
全くしたことがない,全くしたことがない,過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,過去2～3年の間にしたことがある,1時間以下,いいえ,いいえ,はい,いいえ,はい,いいえ,いいえ,いいえ,女性,55,59
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,はい,いいえ,いいえ,女性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,55,59
週に1回以上している,全くしたことがない,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,1時間以下,はい,はい,いいえ,いいえ,いいえ,はい,いいえ,いいえ,女性,50,54
全くしたことがない,全くしたことがない,半年に1回以上している,全くしたことがない,全くしたことがない,全くしたことがない,1時間以下,いいえ,いいえ,はい,はい,はい,いいえ,いいえ,いいえ,女性,40,44
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,女性,55,59
過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,3時間以下,いいえ,いいえ,はい,はい,はい,いいえ,いいえ,いいえ,男性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,40,44
過去2～3年の間にしたことがある,全くしたことがない,月に1回以上している,過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,1時間以下,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,男性,40,44
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,はい,いいえ,いいえ,女性,60,64
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,1時間以下,はい,はい,はい,いいえ,はい,いいえ,いいえ,いいえ,女性,30,34
半年に1回以上している,年に1回以上している,半年に1回以上している,半年に1回以上している,半年に1回以上している,過去2～3年の間にしたことがある,3時間以下,いいえ,いいえ,いいえ,はい,はい,いいえ,いいえ,いいえ,男性,40,44
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,はい,はい,はい,はい,はい,いいえ,いいえ,男性,40,44
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,45,49
過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,1日以下,いいえ,いいえ,はい,はい,いいえ,いいえ,いいえ,いいえ,男性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,男性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,35,39
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,80,84
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,いいえ,はい,いいえ,いいえ,男性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,男性,60,64
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,男性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,はい,はい,いいえ,いいえ,いいえ,男性,40,44
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,はい,いいえ,いいえ,いいえ,男性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,男性,65,69
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,25,29
月に1回以上している,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,年に1回以上している,半年に1回以上している,全くしたことがない,1時間以下,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,女性,40,44
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,40,44
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,女性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,女性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,男性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,女性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,男性,50,54
全くしたことがない,過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,はい,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,男性,40,44
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,男性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,50,54
全くしたことがない,全くしたことがない,全くしたことがない,過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,全くしていない,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,女性,40,44
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,1時間以下,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,30,34
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,いいえ,いいえ,はい,はい,いいえ,いいえ,いいえ,女性,35,39
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,男性,45,49
年に1回以上している,全くしたことがない,年に1回以上している,年に1回以上している,年に1回以上している,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,男性,10,14
過去2～3年の間にしたことがある,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,女性,40,44
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,40,44
月に1回以上している,全くしたことがない,半年に1回以上している,半年に1回以上している,半年に1回以上している,全くしたことがない,3時間以下,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,女性,40,44
全くしたことがない,全くしたことがない,過去2～3年の間にしたことがある,年に1回以上している,全くしたことがない,全くしたことがない,3時間以下,はい,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,女性,30,34
半年に1回以上している,全くしたことがない,年に1回以上している,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,1時間以下,はい,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,男性,40,44
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,はい,いいえ,はい,はい,いいえ,いいえ,いいえ,いいえ,女性,25,29
全くしたことがない,全くしたことがない,過去2～3年の間にしたことがある,全くしたことがない,過去2～3年の間にしたことがある,全くしたことがない,全くしていない,はい,はい,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,女性,45,49
週に1回以上している,全くしたことがない,年に1回以上している,過去2～3年の間にしたことがある,過去2～3年の間にしたことがある,全くしたことがない,1時間以下,はい,はい,はい,いいえ,いいえ,いいえ,いいえ,いいえ,女性,45,49
全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしたことがない,全くしていない,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,いいえ,はい,女性,40,44
年に1回以上している,年に1回以上している,年に1回以上している,年に1回以上している,年に1回以上している,年に1回以上している,6時間以下,はい,はい,はい,はい,はい,はい,いいえ,いいえ,女性,45,49
月に1回以上している,全くしたことがない,半年に1回以上している,半年に1回以上している,年に1回以上している,年に1回以上している,1日以下,はい,いいえ,はい,はい,いいえ,はい,いいえ,いいえ,女性,45,49
